lon,lat,RH 2 m above ground d=2021051200 anl
350.250000,36.750000,63.5
350.500000,36.750000,62.4
350.750000,36.750000,60.6
351.000000,36.750000,60.6
351.250000,36.750000,61.4
351.500000,36.750000,63.4
351.750000,36.750000,65.4
352.000000,36.750000,66.9
352.250000,36.750000,66.7
352.500000,36.750000,64.8
352.750000,36.750000,65.1
353.000000,36.750000,63.5
353.250000,36.750000,61.9
353.500000,36.750000,59.7
353.750000,36.750000,71.7
354.000000,36.750000,82.9
350.250000,37.000000,64.7
350.500000,37.000000,63.5
350.750000,37.000000,62
351.000000,37.000000,62.5
351.250000,37.000000,66.2
351.500000,37.000000,67.8
351.750000,37.000000,72.4
352.000000,37.000000,73
352.250000,37.000000,70.7
352.500000,37.000000,66.8
352.750000,37.000000,66.7
353.000000,37.000000,64.6
353.250000,37.000000,62.9
353.500000,37.000000,54.3
353.750000,37.000000,62.2
354.000000,37.000000,77.2
350.250000,37.250000,66.1
350.500000,37.250000,65.5
350.750000,37.250000,64.2
351.000000,37.250000,64.1
351.250000,37.250000,74.6
351.500000,37.250000,82.5
351.750000,37.250000,84.2
352.000000,37.250000,86.9
352.250000,37.250000,79.2
352.500000,37.250000,72.8
352.750000,37.250000,68
353.000000,37.250000,64.5
353.250000,37.250000,60.3
353.500000,37.250000,55.1
353.750000,37.250000,59.4
354.000000,37.250000,73.5
350.250000,37.500000,67.8
350.500000,37.500000,67
350.750000,37.500000,66.2
351.000000,37.500000,65.5
351.250000,37.500000,79.2
351.500000,37.500000,87.9
351.750000,37.500000,90
352.000000,37.500000,86.1
352.250000,37.500000,81.4
352.500000,37.500000,75.9
352.750000,37.500000,71.6
353.000000,37.500000,68.6
353.250000,37.500000,63.7
353.500000,37.500000,61.1
353.750000,37.500000,62
354.000000,37.500000,64.2
350.250000,37.750000,69.3
350.500000,37.750000,68.5
350.750000,37.750000,67.9
351.000000,37.750000,67.4
351.250000,37.750000,78.3
351.500000,37.750000,85.3
351.750000,37.750000,86.2
352.000000,37.750000,83.9
352.250000,37.750000,81.4
352.500000,37.750000,78.6
352.750000,37.750000,77.9
353.000000,37.750000,74.6
353.250000,37.750000,70.1
353.500000,37.750000,66.8
353.750000,37.750000,64.4
354.000000,37.750000,61.1
350.250000,38.000000,70.4
350.500000,38.000000,70
350.750000,38.000000,69.2
351.000000,38.000000,69.5
351.250000,38.000000,79.6
351.500000,38.000000,84.3
351.750000,38.000000,83
352.000000,38.000000,83.8
352.250000,38.000000,81.8
352.500000,38.000000,81.4
352.750000,38.000000,81.1
353.000000,38.000000,80.2
353.250000,38.000000,79.2
353.500000,38.000000,77.2
353.750000,38.000000,72.9
354.000000,38.000000,66.8
350.250000,38.250000,73.1
350.500000,38.250000,72.2
350.750000,38.250000,70.4
351.000000,38.250000,70.4
351.250000,38.250000,70.1
351.500000,38.250000,78.6
351.750000,38.250000,83.6
352.000000,38.250000,87
352.250000,38.250000,84.8
352.500000,38.250000,79.4
352.750000,38.250000,76.1
353.000000,38.250000,79.9
353.250000,38.250000,83.3
353.500000,38.250000,80.8
353.750000,38.250000,71.7
354.000000,38.250000,68
350.250000,38.500000,76.8
350.500000,38.500000,76
350.750000,38.500000,72.3
351.000000,38.500000,75.2
351.250000,38.500000,72.2
351.500000,38.500000,81.1
351.750000,38.500000,86.7
352.000000,38.500000,86.6
352.250000,38.500000,82.9
352.500000,38.500000,80.3
352.750000,38.500000,78.8
353.000000,38.500000,83.2
353.250000,38.500000,82.7
353.500000,38.500000,73.6
353.750000,38.500000,64.3
354.000000,38.500000,66.6
350.250000,38.750000,78.7
350.500000,38.750000,77.6
350.750000,38.750000,71
351.000000,38.750000,69.9
351.250000,38.750000,76.7
351.500000,38.750000,80.6
351.750000,38.750000,81.9
352.000000,38.750000,83
352.250000,38.750000,82.4
352.500000,38.750000,79.3
352.750000,38.750000,75.7
353.000000,38.750000,76.7
353.250000,38.750000,70.4
353.500000,38.750000,64.9
353.750000,38.750000,64
354.000000,38.750000,67.2
350.250000,39.000000,80.7
350.500000,39.000000,79.4
350.750000,39.000000,75.6
351.000000,39.000000,70
351.250000,39.000000,70
351.500000,39.000000,76.9
351.750000,39.000000,78.4
352.000000,39.000000,79.2
352.250000,39.000000,79.4
352.500000,39.000000,73.9
352.750000,39.000000,71.2
353.000000,39.000000,70.3
353.250000,39.000000,74
353.500000,39.000000,73.7
353.750000,39.000000,73.3
354.000000,39.000000,68
350.250000,39.250000,82.7
350.500000,39.250000,80.9
350.750000,39.250000,79.9
351.000000,39.250000,73.3
351.250000,39.250000,72
351.500000,39.250000,71.9
351.750000,39.250000,74.2
352.000000,39.250000,77
352.250000,39.250000,72
352.500000,39.250000,75.5
352.750000,39.250000,72.6
353.000000,39.250000,69
353.250000,39.250000,72.8
353.500000,39.250000,79.4
353.750000,39.250000,77.2
354.000000,39.250000,72.5
350.250000,39.500000,84.8
350.500000,39.500000,82.3
350.750000,39.500000,81.3
351.000000,39.500000,83.1
351.250000,39.500000,79.4
351.500000,39.500000,74
351.750000,39.500000,72.7
352.000000,39.500000,73.3
352.250000,39.500000,70.4
352.500000,39.500000,72.7
352.750000,39.500000,70.1
353.000000,39.500000,68.6
353.250000,39.500000,70.5
353.500000,39.500000,74.8
353.750000,39.500000,76.2
354.000000,39.500000,75.2
350.250000,39.750000,85.9
350.500000,39.750000,83.4
350.750000,39.750000,83
351.000000,39.750000,85.2
351.250000,39.750000,87.2
351.500000,39.750000,83.8
351.750000,39.750000,84.7
352.000000,39.750000,85.6
352.250000,39.750000,78.8
352.500000,39.750000,71.4
352.750000,39.750000,68.6
